"wages","sex"
49500,"female"
53500,"female"
57500,"female"
61500,"female"
65500,"female"
69500,"female"
73500,"female"
77500,"female"
81500,"female"
85500,"female"
50500,"female"
54500,"female"
58500,"female"
62500,"female"
66500,"female"
70500,"female"
74500,"female"
78500,"female"
82500,"female"
86500,"female"
48500,"female"
52500,"female"
56500,"female"
60500,"female"
64500,"female"
68500,"female"
72500,"female"
76500,"female"
80500,"female"
84500,"female"
51500,"female"
55500,"female"
59500,"female"
63500,"female"
67500,"female"
71500,"female"
75500,"female"
79500,"female"
83500,"female"
87500,"female"
47500,"female"
51500,"female"
55500,"female"
59500,"female"
63500,"female"
67500,"female"
71500,"female"
75500,"female"
79500,"female"
83500,"female"
53000,"female"
57000,"female"
61000,"female"
65000,"female"
69000,"female"
73000,"female"
77000,"female"
81000,"female"
85000,"female"
89000,"female"
49000,"female"
53000,"female"
57000,"female"
61000,"female"
65000,"female"
69000,"female"
73000,"female"
77000,"female"
81000,"female"
85000,"female"
51000,"female"
55000,"female"
59000,"female"
63000,"female"
67000,"female"
71000,"female"
75000,"female"
79000,"female"
83000,"female"
87000,"female"
48000,"female"
52000,"female"
56000,"female"
60000,"female"
64000,"female"
68000,"female"
72000,"female"
76000,"female"
80000,"female"
84000,"female"
85000,"female"
90000,"female"
95000,"female"
1e+05,"female"
105000,"female"
110000,"female"
115000,"female"
120000,"female"
125000,"female"
130000,"female"
88000,"male"
93000,"male"
98000,"male"
103000,"male"
108000,"male"
113000,"male"
118000,"male"
123000,"male"
128000,"male"
133000,"male"
86000,"male"
91000,"male"
96000,"male"
101000,"male"
106000,"male"
111000,"male"
116000,"male"
121000,"male"
126000,"male"
131000,"male"
89000,"male"
94000,"male"
99000,"male"
104000,"male"
109000,"male"
114000,"male"
119000,"male"
124000,"male"
129000,"male"
134000,"male"
87000,"male"
92000,"male"
97000,"male"
102000,"male"
107000,"male"
112000,"male"
117000,"male"
122000,"male"
127000,"male"
132000,"male"
90000,"male"
95000,"male"
1e+05,"male"
105000,"male"
110000,"male"
115000,"male"
120000,"male"
125000,"male"
130000,"male"
135000,"male"
88000,"male"
93000,"male"
98000,"male"
103000,"male"
108000,"male"
113000,"male"
118000,"male"
123000,"male"
128000,"male"
133000,"male"
89000,"male"
94000,"male"
99000,"male"
104000,"male"
109000,"male"
114000,"male"
119000,"male"
124000,"male"
129000,"male"
134000,"male"
91000,"male"
96000,"male"
101000,"male"
106000,"male"
111000,"male"
116000,"male"
121000,"male"
126000,"male"
131000,"male"
136000,"male"
86000,"male"
91000,"male"
96000,"male"
101000,"male"
106000,"male"
111000,"male"
116000,"male"
121000,"male"
126000,"male"
131000,"male"
92000,"male"
97000,"male"
102000,"male"
107000,"male"
112000,"male"
117000,"male"
122000,"male"
127000,"male"
132000,"male"
137000,"male"
